ND
V94,V93
V59,V41
V38,V18
V15,V19
V80,V23
V08,V52
V81,V72
V01,V58
V19,V59
V72,V20
V76,V51
V69,V57
V42,V80
V38,V24
V84,V33
V83,V85
V36,V72
V59,V65
V27,V72
V32,V85
V03,V56
V61,V70
V42,V66
V50,V24
V86,V68
V93,V55
V83,V35
V62,V06
V46,V67
V40,V31
V17,V71
V11,V57
V59,V57
V75,V45
V79,V59
V24,V31
V65,V99
V93,V44
V28,V24
V69,V02
V66,V32
V36,V34
V50,V46
V87,V45
V71,V05
V43,V83
V64,V40
V42,V91
V23,V22
V41,V16
V26,V30
V34,V32
V15,V49
V64,V16
V11,V41
V14,V87
V02,V45
V02,V14
V21,V76
V33,V84
V86,V76
V8,V53
V4,V85
V8,V32
V56,V8
V56,V6
V5,V5
V22,V17
V87,V7
V41,V87
V6,V7
V68,V75
V64,V5
V7,V08
V8,V70
V44,V02
V88,V28
V08,V1
V01,V2
V6,V81
V8,V94
V3,V7
V5,V7
V70,V53
V7,V75
V9,V3
V91,V97
V4,V95
V9,V8
V13,V75
V95,V62
V43,V9
V01,V48
V6,V28
V1,V68
V41,V9
V0,V0
V1,V84
V2,V4
V5,V9
V9,V7
V0,V43
V11,V2
V2,V01
V22,V3
V1,V15
V29,V73
V91,V5
V10,V40
V60,V77
V73,V2
V8,V6
V20,V2
V2,V46
V69,V90
V8,V1
V04,V52
V1,V0
V97,V17
V6,V4
